# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
qiang 	強	c=4 d=1.0927 t=15211
qiang 	槍	c=1 d=1 t=18669
qiang da 	強大	c=3 d=1 t=13334
qiang diao 	強調	c=1 d=1 t=7752
qiang du 	強度	c=2 d=1 t=21864
qiang guo 	強國	c=1 d=1 t=13166
qiang li 	強力	c=1 d=1 t=13955
qiang lie 	強烈	c=1 d=1 t=4702
qiang po 	強迫	c=1 d=1 t=10489
qiang tou 	槍頭	c=1 d=1 t=18675
qiang zhi 	強制	c=2 d=1.92312 t=6100
qiao 	敲	c=1 d=1 t=17184
qiao bu si 	喬布斯	c=1 d=1 t=5281
qiao jin 	巧勁	c=1 d=1 t=766
qiao ke li 	巧克力	c=2 d=1.68386 t=2428
qiao men zhuan 	敲門磚	c=1 d=1 t=15682
qiao miao 	巧妙	c=2 d=1 t=13105
qiao pai 	橋牌	c=1 d=1 t=115
qiao qian 	喬遷	c=1 d=1 t=3345
qiao qiao 	悄悄	c=1 d=1.0956 t=9460
qiao qiao jian shao 	悄悄減少	c=1 d=1 t=9452
qiao xiang 	敲響	c=1 d=1 t=12824
qiao yong 	巧用	c=1 d=1 t=12939
qiao zhe 	敲着	c=1 d=1 t=2430
qie 	切	c=2 d=1 t=15741
qie huan 	切換	c=1 d=1 t=8290
qie man 	且慢	c=1 d=1 t=14300
qie ting xia hui fen jie 	且聽下回分解	c=1 d=1 t=15659
qin 	秦	c=7 d=2.00648 t=14134
qin 	親	c=0 d=0.1 t=1283
qin chao 	秦朝	c=3 d=1.00006 t=15311
qin die 	親爹	c=1 d=1 t=9346
qin mo 	秦末	c=2 d=1.95123 t=11899
qin qing 	親情	c=2 d=1.99005 t=13625
qin sheng 	親生	c=1 d=1 t=12689
qin shi huang 	秦始皇	c=6 d=1.11025 t=12320
qin shi ming yue 	秦時明月	c=1 d=1 t=6759
qing 	情	c=0 d=0.1 t=4211
qing 	清	c=1 d=1 t=14326
qing 	請	c=2 d=1 t=19732
qing bi yan 	請閉眼	c=1 d=1 t=6954
qing chao 	清朝	c=3 d=1 t=19031
qing chu 	清楚	c=0 d=0.10066 t=6371
qing dao 	青島	c=3 d=2.05594 t=6763
qing dao wang shi 	青島往事	c=3 d=2.97516 t=5279
qing gan 	情感	c=1 d=1.14356 t=22298
qing gan ren tong 	情感認同	c=1 d=1 t=22289
qing gan shang 	情感上	c=1 d=1 t=22154
qing huai 	情懷	c=0 d=0.1 t=535
qing kan 	請看	c=2 d=1.05642 t=15597
qing kuang 	情況	c=6 d=0.100394 t=20066
qing kuang xia 	情況下	c=5 d=1.03712 t=21373
qing liang ji 	輕量級	c=2 d=1.44043 t=7518
qing long 	青龍	c=0 d=0.1 t=18723
qing long dao 	青龍刀	c=1 d=1 t=18724
qing ming 	清明	c=1 d=1 t=13911
qing qian 	青錢	c=1 d=1 t=11746
qing qing 	輕輕	c=1 d=1 t=9467
qing qiu 	請求	c=2 d=1.81058 t=3081
qing wen 	請問	c=3 d=1 t=22512
qing xiang yu 	傾向於	c=4 d=1.03544 t=22137
qing xing 	情形	c=1 d=1 t=10198
qing xu 	情緒	c=1 d=1 t=4100
qing yao bo fu 	輕徭薄賦	c=1 d=1 t=12358
qing yi 	輕易	c=1 d=1 t=12530
qing zhu 	慶祝	c=1 d=1 t=2828
qiong 	窮	c=4 d=1 t=19316
qiu 	求	c=2 d=1.00003 t=3366
qiu ping 	球評	c=1 d=1 t=4233
qiu tu 	囚徒	c=1 d=1 t=13194
qu 	去	c=38 d=1.02041 t=22387
qu 	取	c=9 d=1.15083 t=16740
qu ba 	去吧	c=0 d=0.1 t=15159
qu bie 	區別	c=6 d=1.98511 t=15801
qu chu lai 	取出來	c=1 d=1 t=4503
qu dai 	取代	c=3 d=1 t=15101
qu dao 	渠道	c=1 d=1 t=21680
qu diao 	去掉	c=1 d=1 t=1094
qu dong 	驅動	c=6 d=4.49766 t=20643
qu fen 	區分	c=3 d=1 t=21566
qu fen kai 	去分開	c=1 d=1 t=21565
qu guo 	去過	c=0 d=0.1 t=3956
qu jian 	區間	c=1 d=1 t=11320
qu jue yu 	取決於	c=3 d=1.49411 t=22317
qu le 	去了	c=2 d=1 t=8779
qu nian 	去年	c=1 d=1 t=1666
qu qu 	區區	c=1 d=1 t=9407
qu shi 	去世	c=2 d=1.00691 t=15374
qu xiang 	去向	c=1 d=1 t=11857
qu xiao 	取消	c=2 d=1 t=11839
qu zhe 	曲折	c=1 d=1 t=14652
quan 	全	c=3 d=0.100041 t=11653
quan 	勸	c=1 d=1 t=13648
quan 	圈	c=1 d=1 t=13588
quan 	權	c=1 d=1 t=10036
quan bu 	全部	c=4 d=1 t=16434
quan bu shi 	全部是	c=2 d=1.00239 t=8807
quan chang 	全場	c=1 d=1 t=6034
quan chen 	權臣	c=2 d=1.9802 t=13611
quan cheng 	全程	c=1 d=1 t=6689
quan huang 	拳皇	c=1 d=1 t=59
quan jian 	勸諫	c=1 d=1 t=12035
quan jian pan 	全鍵盤	c=1 d=1 t=5604
quan li 	權利	c=1 d=1 t=10848
quan mian 	全面	c=2 d=1.0802 t=17852
quan mian chao yue le 	全面超越了	c=1 d=1 t=17853
quan qiu 	全球	c=1 d=1 t=5193
quan ran 	全然	c=2 d=1 t=20390
quan shi jie 	全世界	c=1 d=1 t=179
quan xian 	權限	c=4 d=1 t=8048
quan zheng 	權證	c=4 d=2.94132 t=11679
quan zhong 	權重	c=4 d=1.91393 t=21520
quan zi 	圈子	c=1 d=1 t=7007
que 	卻	c=10 d=1 t=18758
que 	闕	c=1 d=1 t=11760
que 	雀	c=1 d=1 t=8437
que ding 	確定	c=6 d=1 t=17251
que ding xia lai 	確定下來	c=1 d=1 t=1914
que fa 	缺乏	c=2 d=1 t=13832
que han 	缺憾	c=1 d=1 t=5656
que ren 	確認	c=1 d=1 t=2790
que shi 	確實	c=11 d=1.00003 t=22448
que shi hen duo 	確實很多	c=1 d=1 t=3959
que shi mei you 	確實沒有	c=1 d=1 t=14050
qun 	羣	c=1 d=1 t=1970
qun ti 	羣體	c=1 d=1 t=13111
qun xing 	羣星	c=2 d=1 t=19097
qun zi 	裙子	c=1 d=1 t=2974
ran hou 	然後	c=52 d=1 t=21844
rang 	壤	c=1 d=1 t=15900
rang 	讓	c=29 d=1.16535 t=22378
rang ke 	讓課	c=1 d=1 t=204
rang ren 	讓人	c=0 d=0.1 t=19401
rang ren jia 	讓人家	c=1 d=1 t=5950
rang ren xiang xin 	讓人相信	c=1 d=1 t=19402
rang ta 	讓她	c=1 d=1 t=12202
rang wo 	讓我	c=2 d=1 t=6852
rang wo men 	讓我們	c=1 d=1 t=17816
rao rao 	擾擾	c=0 d=0.1 t=13093
re 	熱	c=1 d=1 t=10356
re nao 	熱鬧	c=1 d=1 t=2897
re qie 	熱切	c=2 d=1.98511 t=1840
re shui 	熱水	c=1 d=1 t=17868
re wu 	熱舞	c=0 d=0.1 t=13923
ren 	人	c=39 d=1.36606 t=19136
ren 	任	c=8 d=1 t=15054
ren chu 	認出	c=1 d=1 t=15967
ren gou 	認購	c=1 d=1 t=11692
ren he 	任何	c=16 d=1.71534 t=22681
ren he yi ge 	任何一個	c=1 d=1 t=15591
ren he yi ge ren 	任何一個人	c=1 d=1 t=8795
ren jia 	人家	c=3 d=1 t=15436
ren jian 	人間	c=1 d=1.05916 t=15301
ren jian di wang 	人間帝王	c=1 d=1 t=15197
ren jun 	仁君	c=1 d=1 t=13234
ren lei 	人類	c=4 d=1 t=14214
ren li 	人力	c=1 d=1 t=9558
ren li zi yuan 	人力資源	c=1 d=1 t=11195
ren men 	人們	c=3 d=1.00014 t=10490
ren min bi 	人民幣	c=2 d=1.01089 t=7151
ren qun 	人羣	c=2 d=1 t=9834
ren ren 	人人	c=1 d=1 t=4037
ren ren wei qin 	任人唯親	c=1 d=1 t=17498
ren ren wei xian 	任人唯賢	c=1 d=1 t=17496
ren shen yi fu 	人身依附	c=1 d=1 t=9626
ren shi 	人事	c=0 d=0.1 t=10031
ren shi 	認識	c=1 d=1.00028 t=2808
ren shi dao 	認識到	c=1 d=1 t=20678
ren shi jing ji xue 	人事經濟學	c=1 d=1 t=10032
ren shu 	人數	c=1 d=1 t=15968
ren tong 	認同	c=8 d=3.42136 t=22482
ren tong du 	認同度	c=1 d=1 t=22175
ren tong gan 	認同感	c=2 d=1.99005 t=22142
ren wei 	認爲	c=14 d=1.81876 t=22359
ren wen 	人文	c=1 d=1 t=19528
ren xiao 	仁孝	c=1 d=1 t=13227
ren xin 	人心	c=1 d=1 t=18515
ren yi 	仁義	c=1 d=1 t=19493
ren yi 	任意	c=3 d=1.1159 t=8298
ren zhen 	認真	c=2 d=1 t=19304
ren zhi 	認知	c=0 d=0.1 t=18825
reng ran 	仍然	c=2 d=1.25538 t=21033
ri 	日	c=3 d=2.84467 t=15934
ri ben 	日本	c=4 d=1 t=22519
ri ben shi 	日本式	c=1 d=1 t=9376
ri chang 	日常	c=1 d=1 t=20350
ri yuan 	日元	c=1 d=1 t=9450
ri zhi 	日誌	c=2 d=1.9802 t=3353
ri zi 	日子	c=3 d=1 t=15303
rong 	容	c=1 d=1 t=13418
rong 	榮	c=1 d=1 t=1376
rong he 	融合	c=1 d=1 t=22282
rong wo 	榮我	c=1 d=1 t=1374
rong yi 	容易	c=6 d=2.44507 t=4058
ru 	儒	c=9 d=2.31217 t=16048
ru 	入	c=1 d=1 t=17185
ru 	如	c=1 d=1 t=11183
ru bu fu chu 	入不敷出	c=1 d=1 t=10721
ru ci 	如此	c=9 d=1.03216 t=19511
ru gou 	乳溝	c=1 d=1 t=14108
ru guo 	如果	c=90 d=1.42048 t=22649
ru guo ba 	如果把	c=1 d=1 t=22049
ru guo shi 	如果是	c=1 d=1 t=3476
ru guo shuo 	如果說	c=1 d=1 t=18846
ru guo wo xiang 	如果我想	c=1 d=1 t=17573
ru he 	如何	c=48 d=1.30451 t=21718
ru he zhi zuo 	如何製作	c=1 d=1 t=16178
ru jia 	儒家	c=7 d=1.00211 t=15844
ru men 	入門	c=0 d=0.1 t=209
ru shi 	入世	c=1 d=1 t=14191
ru shi 	如實	c=1 d=1 t=11155
ru shou 	入手	c=1 d=1 t=5625
ru tong 	如同	c=3 d=1 t=18901
ru xia 	如下	c=2 d=1 t=17039
ru xue 	儒學	c=4 d=1.80786 t=16857
ru you 	如有	c=1 d=1 t=16284
ru zhu 	入住	c=1 d=1 t=13084
ruan jian 	軟件	c=15 d=1.55594 t=18095
rui dian 	瑞典	c=2 d=1.92312 t=3977
ruo 	弱	c=2 d=1 t=13044
ruo 	若	c=9 d=1 t=19811
ruo shi 	弱勢	c=1 d=1 t=13017
sa 	撒	c=1 d=1 t=17452
sa man 	薩滿	c=2 d=1.95123 t=13677
sai 	賽	c=1 d=1 t=16869
sai bai 	賽白	c=1 d=1 t=2659
sai bei 	塞北	c=1 d=1 t=2660
san 	三	c=2 d=1.99501 t=467
san 	散	c=1 d=1 t=11787
san cheng 	三城	c=1 d=1 t=16969
san dai 	三代	c=1 d=1 t=13231
san fen 	三分	c=1 d=0.103735 t=12895
san fen tian xia 	三分天下	c=1 d=1 t=12896
san ge 	三個	c=7 d=1.32006 t=21592
san ge ren 	三個人	c=1 d=1 t=14290
san guo 	三國	c=8 d=1.97102 t=19705
san guo sha 	三國殺	c=5 d=2.15411 t=20053
san guo shi dai 	三國時代	c=1 d=1 t=19096
san guo yan yi 	三國演義	c=6 d=1.18867 t=19291
san guo zhi 	三國志	c=3 d=2.13998 t=19409
san ji 	三級	c=1 d=1 t=11336
san jia 	三家	c=3 d=2.84167 t=13932
san jie 	三屆	c=1 d=1 t=8777
san qian ren 	三千人	c=1 d=1 t=22583
san ren 	三人	c=1 d=1 t=14999
san sheng 	三省	c=0 d=0.1 t=13860
san sheng liu bu 	三省六部	c=1 d=1 t=13861
san shi 	三十	c=3 d=1.94649 t=12378
san shi 	三是	c=1 d=1 t=3413
san shi er 	三十二	c=2 d=1.00861 t=16129
san si 	三思	c=1 d=1 t=1378
san tao 	三套	c=1 d=1 t=5224
san zhong 	三種	c=1 d=1 t=20623
san zhuan 	三傳	c=2 d=1.99005 t=14532
sang hong yang 	桑弘羊	c=5 d=3.47274 t=13374
sang jia zhi quan 	喪家之犬	c=1 d=1 t=16160
sang shi 	喪失	c=0 d=0.1 t=9609
sang shi le 	喪失了	c=1 d=1 t=9610
sang zhong 	喪鐘	c=1 d=1 t=12829
sao 	掃	c=0 d=0.1 t=15563
sao bu liao 	掃不了	c=1 d=1 t=15564
sao miao 	掃描	c=2 d=1 t=15554
se cai 	色彩	c=1 d=1 t=12763
se qing 	色情	c=1 d=1 t=3074
sha 	啥	c=5 d=1 t=16395
sha 	殺	c=3 d=1.09501 t=17861
sha bi 	傻逼	c=10 d=6.53991 t=6049
sha dou bu hui 	啥都不會	c=1 d=1 t=3614
sha dou mei you 	啥都沒有	c=1 d=1 t=3986
sha huang e guo 	沙皇俄國	c=1 d=1 t=13995
sha mo 	沙漠	c=1 d=1 t=15243
sha po lang 	殺破浪	c=1 d=1 t=8442
sha yi si 	啥意思	c=2 d=1 t=8824
sha zi 	傻子	c=1 d=1 t=12975
shai cha 	篩查	c=2 d=1.00069 t=2555
shan 	刪	c=2 d=1 t=14455
shan 	山	c=3 d=1 t=19634
shan 	閃	c=1 d=1 t=5949
shan chu 	刪除	c=4 d=1.99501 t=9631
shan diao 	刪掉	c=3 d=0.114122 t=17287
shan diao le 	刪掉了	c=1 d=1 t=17288
shan dong 	煽動	c=1 d=1 t=4060
shan hai guan 	山海關	c=1 d=1 t=12283
shan le 	刪了	c=1 d=1 t=9516
shan qu 	刪去	c=1 d=1 t=9340
shan rang 	禪讓	c=1 d=1.03239 t=13071
shan rang an 	禪讓安	c=1 d=1 t=13072
shan ting 	山庭	c=1 d=1 t=15905
shan yu 	善於	c=4 d=2.16151 t=19088
shan yu yu lai 	山雨欲來	c=1 d=1 t=13305
shang 	上	c=42 d=3.31702 t=22349
shang 	商	c=4 d=1.00658 t=16075
shang ban 	上班	c=1 d=1 t=6926
shang ban shi jian 	上班時間	c=1 d=1 t=6908
shang chao 	商朝	c=2 d=1.97045 t=15084
shang ci 	上次	c=3 d=1 t=16617
shang dian 	商店	c=1 d=1 t=2908
shang jiang 	上講	c=0 d=0.1 t=22302
shang ke 	上課	c=6 d=1 t=17514
shang lai 	上來	c=1 d=1 t=5498
shang liang 	商量	c=1 d=1 t=7361
shang mian 	上面	c=6 d=0.800952 t=19532
shang mian zhe duan hua 	上面這段話	c=1 d=1 t=19533
shang pin 	商品	c=4 d=2.97281 t=21475
shang pu 	上鋪	c=1 d=1 t=18449
shang qie 	尚且	c=1 d=1 t=19499
shang qu 	上去	c=1 d=1 t=15541
shang shen 	上身	c=1 d=1 t=12240
shang shu 	上述	c=2 d=1.00002 t=22501
shang shu 	尚書	c=3 d=1.00002 t=22500
shang tian 	上天	c=1 d=1 t=15284
shang wang ben 	上網本	c=1 d=1 t=6523
shang wei 	上位	c=1 d=1 t=17528
shang wu 	上午	c=1 d=1 t=2896
shang wu che 	商務車	c=1 d=1 t=11377
shang xia 	上下	c=5 d=1 t=13797
shang xue 	上學	c=1 d=1 t=2915
shang xue yuan 	商學院	c=1 d=1 t=8772
shang ye 	商業	c=3 d=1 t=20462
shang you 	上有	c=0 d=0.1 t=3505
shang zhou 	上週	c=1 d=1 t=5119
shao 	少	c=3 d=1.00354 t=15971
shao jian 	少見	c=0 d=0.1 t=13806
shao jian de 	少見的	c=1 d=1 t=13807
shao le 	少了	c=1 d=1 t=18418
shao shu 	少數	c=1 d=1 t=6937
shao shuo 	少說	c=1 d=1 t=15047
shao wei 	稍微	c=2 d=1 t=21470
shao yi dian 	少一點	c=1 d=1 t=15886
shao zi 	勺子	c=1 d=1 t=16197
she 	舍	c=1 d=1 t=19319
she 	蛇	c=3 d=2.43568 t=18700
she bei 	設備	c=2 d=1 t=17115
she ding 	設定	c=3 d=1 t=11331
she hui 	社會	c=82 d=4.10941 t=22663
she hui ze ren 	社會責任	c=6 d=1.00014 t=22188
she ji 	社稷	c=1 d=1 t=10041
she ji 	設計	c=5 d=1.02774 t=21562
she ji zhe 	設計者	c=1 d=1 t=11167
she li 	設立	c=3 d=1 t=19783
she mao 	蛇矛	c=4 d=3.13185 t=18726
she me 	什麼	c=1 d=1 t=4138
she qu 	社區	c=2 d=1 t=19787
she shi 	設施	c=0 d=0.1 t=17117
she tou 	蛇頭	c=1 d=1 t=18546
she zhi 	設置	c=11 d=1 t=17940
shen 	深	c=3 d=1.00044 t=13493
shen 	申	c=2 d=1.99005 t=12056
shen 	神	c=15 d=2.03722 t=17148
shen 	身	c=1 d=1 t=18670
shen cang 	深藏	c=1 d=1 t=9929
shen cang bu lou 	深藏不露	c=1 d=1 t=1738
shen du 	深度	c=0 d=0.1 t=4272
shen du xiu gai 	深度修改	c=1 d=1 t=4273
shen fen 	身份	c=1 d=1 t=9615
shen gao ren 	審稿人	c=1 d=1 t=16788
shen he 	審覈	c=2 d=1.09027 t=3536
shen hua 	深化	c=1 d=1 t=18513
shen hua 	神話	c=2 d=1 t=18511
shen ji 	神蹟	c=2 d=1.97045 t=15638
shen juan zhi zi 	神卷之子	c=1 d=1 t=3751
shen ke 	深刻	c=1 d=1 t=22152
shen ling 	神靈	c=1 d=1 t=15384
shen me 	什麼	c=62 d=1.00009 t=22676
shen me jiao zuo 	什麼叫做	c=1 d=1 t=4575
shen me wen ti 	什麼問題	c=0 d=0.1 t=4645
shen me yang 	什麼樣	c=4 d=1 t=20788
shen me yi si 	什麼意思	c=2 d=1.06173 t=2149
shen qi 	神器	c=9 d=1 t=17128
shen qi 	神奇	c=1 d=1 t=12891
shen qing 	申請	c=2 d=1 t=6077
shen ru 	深入	c=1 d=0.1 t=18513
shen ru ren xin 	深入人心	c=0 d=0.1 t=18483
shen ru yan jiu 	深入研究	c=1 d=1 t=5256
shen shang 	身上	c=4 d=1.6604 t=16105
shen sheng 	神聖	c=1 d=1 t=16010
shen shi 	紳士	c=2 d=1.96079 t=4930
shen shou yi chu 	身首異處	c=2 d=1.04438 t=13462
shen tan 	神壇	c=1 d=1 t=15760
shen tan 	神探	c=3 d=1 t=17488
shen ti 	身體	c=1 d=1 t=10703
shen tou dao 	滲透到	c=0 d=0.1 t=20534
shen tou dao le 	滲透到了	c=1 d=1 t=20535
shen xian 	神仙	c=2 d=1.94176 t=12474
shen yang 	瀋陽	c=1 d=1 t=13617
shen yi 	深意	c=2 d=1.64404 t=14766
shen yi 	神異	c=3 d=1.68748 t=15964
shen you zhi yuan 	神幼稚園	c=1 d=1 t=9324
shen yuan 	深淵	c=1 d=1 t=12858
shen zhi 	甚至	c=2 d=1 t=17939
shen zhi yu 	甚至於	c=1 d=1 t=12683
sheng 	生	c=5 d=2.83934 t=15094
sheng 	省	c=1 d=1.06561 t=18791
sheng 	聖	c=2 d=1.31506 t=16134
sheng bao luo 	聖保羅	c=1 d=1 t=15890
sheng bu feng shi 	生不逢時	c=1 d=1 t=15062
sheng chan 	生產	c=3 d=1.09516 t=11443
sheng chan li 	生產力	c=3 d=2.43625 t=6599
sheng chan lv 	生產率	c=5 d=2.50036 t=9902
sheng chan xiao lv 	生產效率	c=1 d=1 t=10998
sheng chan yao su 	生產要素	c=1 d=1 t=9569
sheng chan zhe 	生產者	c=7 d=4.42913 t=11436
sheng chan zhong 	生產中	c=1 d=1 t=11444
sheng cheng 	生成	c=2 d=1.60653 t=17191
sheng dan kuai le 	聖誕快樂	c=1 d=1 t=9800
sheng dong 	生動	c=0 d=0.1 t=197
sheng dong duo le 	生動多了	c=1 d=1 t=198
sheng gao 	升高	c=1 d=1 t=22206
sheng huo 	生活	c=7 d=2.81963 t=19924
sheng huo shang 	生活上	c=1 d=1 t=19938
sheng huo zai 	生活在	c=1 d=1 t=4056
sheng huo zhong 	生活中	c=2 d=1 t=21445
sheng ji 	升級	c=3 d=1 t=17490
sheng jing 	聖經	c=12 d=2.71315 t=16842
sheng lve 	省略	c=1 d=1 t=16698
sheng ming 	聲明	c=2 d=1.00011 t=4228
sheng mu 	聖母	c=2 d=1.71534 t=3910
sheng qian 	省錢	c=1 d=1 t=16676
sheng ren 	聖人	c=3 d=1.03472 t=15696
sheng shi 	盛世	c=2 d=1.02719 t=12490
sheng tai huan jing 	生態環境	c=1 d=1 t=5110
sheng tian 	昇天	c=1 d=1 t=14408
sheng wang 	聖王	c=1 d=1 t=16092
sheng wu duo yang xing 	生物多樣性	c=1 d=1 t=17067
sheng xia 	剩下	c=3 d=1 t=12932
sheng xiao 	生肖	c=1 d=1 t=8462
sheng yan 	盛宴	c=1 d=1 t=8445
sheng yi 	生意	c=1 d=1 t=246
sheng yin 	聲音	c=8 d=1 t=12553
sheng yin hen xiao 	聲音很小	c=1 d=1 t=6459
sheng yu 	剩餘	c=2 d=1.8825 t=2010
sheng yu 	聲譽	c=1 d=1 t=20708
sheng zhan 	聖戰	c=1 d=1 t=4027
sheng zhi 	升值	c=2 d=1.00062 t=11463
shi 	十	c=2 d=1 t=13453
shi 	史	c=0 d=0.1 t=13801
shi 	式	c=5 d=1.51611 t=13558
shi 	是	c=389 d=1.83447 t=22413
shi 	時	c=5 d=1 t=14882
shi ba luo han 	十八羅漢	c=1 d=1 t=15877
shi bai 	失敗	c=1 d=1 t=19585
shi bie 	識別	c=3 d=1.01139 t=17072
shi bu cuo 	是不錯	c=1 d=1 t=5105
shi bu shi 	是不是	c=12 d=1 t=22318
shi bu shi 	時不時	c=6 d=1 t=14245
shi chang 	市場	c=17 d=1.00001 t=19832
shi chang huan jing 	市場環境	c=1 d=1 t=20308
shi chuan 	失傳	c=0 d=0.1 t=14520
shi chuan le 	失傳了	c=1 d=1 t=14521
shi ci 	詩詞	c=1 d=1 t=4223
shi dai 	時代	c=7 d=1.00051 t=20729
shi de 	使得	c=4 d=1.00027 t=12805
shi de fen shu 	實得分數	c=0 d=0.1 t=17819
shi de fen shu de 	實得分數的	c=1 d=1 t=17820
shi di 	師弟	c=1 d=1 t=7156
shi er 	十二	c=4 d=1.02039 t=16205
shi er men tu 	十二門徒	c=1 d=1 t=15888
shi fen 	十分	c=0 d=0.1 t=12874
shi fen tian xia 	十分天下	c=2 d=1.9802 t=12879
shi fen zhong 	十分鐘	c=1 d=1 t=5361
shi fou 	是否	c=7 d=3.06641 t=21621
shi ge 	是個	c=5 d=1.73345 t=18988
shi guan 	史官	c=1 d=1 t=14447
shi hao shi huai 	時好時壞	c=1 d=1 t=12452
shi he 	適合	c=6 d=1 t=16739
shi hou 	事後	c=1 d=1 t=10819
shi hou 	時候	c=49 d=1.00009 t=22682
shi ji 	事蹟	c=1 d=1 t=18479
shi ji 	史記	c=3 d=2.84167 t=13931
shi ji 	實際	c=3 d=1 t=21444
shi jia 	世家	c=1 d=1 t=13023
shi jia 	釋迦	c=4 d=1.08899 t=15832
shi jia mou ni 	釋迦牟尼	c=6 d=1.69449 t=15970
shi jian 	事件	c=1 d=1 t=4076
shi jian 	實踐	c=2 d=1 t=21105
shi jian 	時間	c=16 d=1 t=21104
shi jie 	世界	c=2 d=1 t=20519
shi jie di er da 	世界第二大	c=1 d=1 t=9378
shi jie shang 	世界上	c=3 d=1 t=20508
shi jie shang you 	世界上有	c=1 d=1 t=13656
shi jing 	詩經	c=1 d=1 t=9812
shi kan 	試看	c=1 d=1 t=13189
shi ke fa 	史可法	c=1 d=1 t=12534
shi li 	勢力	c=1 d=1 t=22546
shi li 	實例	c=1 d=1 t=2332
shi li 	實力	c=1 d=1 t=5259
shi li hua 	實例化	c=1 d=1 t=17339
shi ming 	使命	c=2 d=1.82283 t=15263
shi nian 	十年	c=1 d=1 t=16258
shi pin 	視頻	c=1 d=0.1 t=6273
shi qi 	使其	c=1 d=0.1 t=14742
shi qi 	士氣	c=1 d=1 t=17270
shi qi 	時期	c=2 d=0.125861 t=20119
shi qian 	事前	c=1 d=1 t=10764
shi qing 	事情	c=9 d=1.70117 t=22686
shi qu 	失去	c=2 d=1.00409 t=12117
shi ren 	世人	c=2 d=1 t=15260
shi san 	十三	c=0 d=0.1 t=19466
shi san si sui 	十三四歲	c=1 d=1 t=19467
shi shen me 	是什麼	c=2 d=1 t=17611
shi shi 	實時	c=5 d=3.37079 t=7817
shi shi shang 	事實上	c=5 d=1 t=19023
shi shi zai zai 	實實在在	c=2 d=1.86071 t=15743
shi shu 	史書	c=3 d=1.0739 t=19573
shi tou 	石頭	c=2 d=1 t=19357
shi tou shang 	是頭上	c=1 d=1 t=19356
shi tu 	試圖	c=2 d=1 t=20831
shi tu yong 	試圖用	c=1 d=1 t=5512
shi wan ge 	十萬個	c=1 d=1 t=8460
shi wu 	事務	c=1 d=1 t=16850
shi wu 	失誤	c=3 d=2.1923 t=2979
shi wu 	食物	c=6 d=4.47581 t=9792
shi wu le 	失誤了	c=1 d=1 t=2447
shi xi an 	是西安	c=1 d=1 t=18112
shi xian 	實現	c=10 d=1.01998 t=18158
shi xian fang fa 	實現方法	c=1 d=1 t=18159
shi xian le 	實現了	c=2 d=1.97531 t=13249
shi xiang 	試想	c=1 d=1 t=19139
shi xu yao yong 	是需要用	c=1 d=1 t=7604
shi xue 	失學	c=0 d=0.1 t=20021
shi xue er tong 	失學兒童	c=1 d=1 t=20022
shi ya 	是呀	c=1 d=1 t=14417
shi yan 	實驗	c=2 d=1.33454 t=22625
shi yan le 	實驗了	c=2 d=1 t=18056
shi yao 	是要	c=1 d=1 t=14341
shi ye 	事業	c=2 d=1 t=19777
shi ye 	失業	c=1 d=1 t=8658
shi yi 	十一	c=1 d=1 t=11789
shi yi yue 	十一月	c=1 d=1 t=9528
shi yi zhong 	是一種	c=1 d=1 t=10510
shi ying 	適應	c=1 d=1 t=20695
shi yong 	使用	c=7 d=0.107959 t=18813
shi yong 	適用	c=3 d=1.99501 t=9833
shi yong guo 	使用過	c=1 d=1 t=7382
shi yong qing kuang 	使用情況	c=1 d=1 t=7523
shi yong quan 	使用權	c=1 d=1 t=10856
shi yong shang 	使用上	c=1 d=1 t=18814
shi yong zhe 	使用者	c=1 d=1 t=17179
shi yu 	始於	c=1 d=1 t=15351
shi zai 	實在	c=5 d=1 t=16689
shi zai mei you 	是再沒有	c=1 d=1 t=2213
shi zhe 	試着	c=1 d=1 t=18043
shi zhe yang 	是這樣	c=1 d=1 t=1546
shi zheng 	實證	c=1 d=1 t=18290
shi zhi 	使之	c=1 d=1 t=16065
shi zhong 	始終	c=3 d=1.00355 t=21309
shi zuo yong zhe 	始作俑者	c=1 d=1 t=15549
shou 	受	c=1 d=1 t=16118
shou 	手	c=1 d=1 t=15204
shou 	授	c=1 d=1 t=14405
shou 	收	c=2 d=1.00361 t=6033
shou 	獸	c=1 d=1 t=20044
shou 	首	c=1 d=1 t=5549
shou bu dao 	收不到	c=0 d=0.1 t=4426
shou bu dao xin 	收不到信	c=1 d=1 t=4427
shou bu le 	受不了	c=1 d=1 t=17649
shou chi 	手持	c=1 d=1 t=18504
shou chu 	售出	c=1 d=1 t=20016
shou dao 	受到	c=0 d=0.1 t=12619
shou dao 	收到	c=1 d=1 t=2152
shou dao le 	受到了	c=1 d=1 t=12620
shou du 	首都	c=1 d=1 t=3870
shou duan 	手段	c=0 d=0.1 t=10486
shou gan 	手感	c=2 d=1.56836 t=6573
shou gong 	手工	c=1 d=1 t=7963
shou huo 	收穫	c=0 d=0.1 t=146
shou ji 	手機	c=7 d=1.97531 t=17048
shou ji 	手跡	c=1 d=1 t=19190
shou ji 	收集	c=1 d=1 t=7302
